Transaction,Purchase Date,Customer ID,Gender,Marital Status,Homeowner,Children,Annual Income,City,State or Province,Country,Product Family,Product Department,Product Category,Units Sold,Revenue
4545,12/22/12,9397,M,M,Y,5,$30K - $50K,Portland,OR,USA,Non-Consumable,Household,Electrical,5,$25.30
4546,12/22/12,1345,F,M,Y,5,$30K - $50K,Tacoma,WA,USA,Non-Consumable,Health and Hygiene,Cold Remedies,5,$15.28
4547,12/22/12,7952,M,M,Y,4,$90K - $110K,Salem,OR,USA,Food,Dairy,Dairy,5,$34.63
4548,12/22/12,7376,M,S,Y,2,$130K - $150K,Orizaba,Veracruz,Mexico,Non-Consumable,Household,Paper Products,3,$9.18
4549,12/22/12,4099,M,M,N,3,$70K - $90K,Tacoma,WA,USA,Food,Deli,Side Dishes,2,$3.10
4550,12/22/12,2106,M,S,N,5,$70K - $90K,Los Angeles,CA,USA,Food,Canned Foods,Canned Clams,4,$2.21
4551,12/23/12,2842,F,M,N,3,$10K - $30K,Beverly Hills,CA,USA,Non-Consumable,Household,Electrical,4,$6.40
4552,12/23/12,9734,F,M,Y,4,$30K - $50K,Tacoma,WA,USA,Food,Dairy,Dairy,3,$9.55
4553,12/23/12,8960,M,M,Y,2,$150K +,Bremerton,WA,USA,Food,Baking Goods,Jams and Jellies,5,$8.78
4554,12/23/12,1055,M,M,Y,0,$150K +,Seattle,WA,USA,Food,Produce,Fruit,2,$6.92
4555,12/23/12,5116,F,M,Y,3,$30K - $50K,Seattle,WA,USA,Non-Consumable,Household,Cleaning Supplies,2,$14.15
4556,12/23/12,9813,F,M,Y,4,$10K - $30K,Seattle,WA,USA,Food,Frozen Foods,Vegetables,4,$5.76
4557,12/23/12,5909,M,S,N,1,$30K - $50K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Hygiene,3,$6.72
4558,12/23/12,7571,F,M,Y,1,$10K - $30K,Beverly Hills,CA,USA,Food,Produce,Fruit,6,$5.32
4559,12/23/12,6012,M,M,N,3,$150K +,Salem,OR,USA,Food,Frozen Foods,Vegetables,5,$25.28
4560,12/23/12,1352,M,S,N,4,$50K - $70K,Tacoma,WA,USA,Food,Baked Goods,Bread,5,$1.75
4561,12/23/12,8944,F,S,Y,3,$90K - $110K,San Francisco,CA,USA,Drink,Dairy,Dairy,2,$2.28
4562,12/23/12,9734,F,M,Y,4,$30K - $50K,Tacoma,WA,USA,Food,Canned Foods,Canned Soup,2,$5.22
4563,12/23/12,927,M,M,Y,3,$10K - $30K,Beverly Hills,CA,USA,Food,Canned Foods,Canned Soup,4,$4.72
4564,12/23/12,4099,M,M,N,3,$70K - $90K,Tacoma,WA,USA,Non-Consumable,Household,Electrical,6,$27.56
4565,12/23/12,9971,F,M,Y,3,$10K - $30K,Camacho,Zacatecas,Mexico,Food,Canned Products,Fruit,3,$13.06
4566,12/24/12,9928,F,S,Y,5,$10K - $30K,Spokane,WA,USA,Food,Produce,Fruit,3,$20.74
4567,12/24/12,6557,M,S,Y,1,$30K - $50K,Portland,OR,USA,Food,Produce,Fruit,2,$8.98
4568,12/24/12,9622,F,S,N,3,$30K - $50K,Beverly Hills,CA,USA,Non-Consumable,Periodicals,Magazines,4,$14.44
4569,12/24/12,2664,F,S,Y,3,$50K - $70K,Tacoma,WA,USA,Food,Eggs,Eggs,3,$24.12
4570,12/24/12,8960,M,M,Y,2,$150K +,Bremerton,WA,USA,Non-Consumable,Household,Paper Products,5,$12.82
4571,12/24/12,6163,F,S,N,2,$50K - $70K,Salem,OR,USA,Food,Deli,Meat,4,$23.14
4572,12/24/12,4498,F,M,Y,2,$70K - $90K,Tacoma,WA,USA,Food,Frozen Foods,Frozen Entrees,4,$16.05
4573,12/24/12,2448,F,S,Y,1,$10K - $30K,Spokane,WA,USA,Food,Produce,Specialty,4,$10.04
4574,12/24/12,1295,M,M,Y,3,$50K - $70K,Camacho,Zacatecas,Mexico,Food,Produce,Specialty,5,$17.21
4575,12/24/12,195,F,S,Y,4,$50K - $70K,Vancouver,BC,Canada,Food,Baking Goods,Jams and Jellies,2,$6.12
4576,12/24/12,7977,F,M,Y,1,$70K - $90K,Hidalgo,Zacatecas,Mexico,Food,Deli,Meat,3,$4.95
4577,12/24/12,4610,M,S,N,1,$30K - $50K,Yakima,WA,USA,Food,Canned Foods,Canned Soup,5,$4.65
4578,12/24/12,8002,F,S,N,3,$30K - $50K,Vancouver,BC,Canada,Food,Produce,Vegetables,5,$7.80
4579,12/24/12,3661,M,M,Y,1,$110K - $130K,Merida,Yucatan,Mexico,Food,Frozen Foods,Vegetables,4,$8.68
4580,12/24/12,4284,F,M,Y,4,$30K - $50K,Orizaba,Veracruz,Mexico,Food,Snack Foods,Snack Foods,5,$33.38
4581,12/24/12,6712,M,M,Y,3,$110K - $130K,Spokane,WA,USA,Food,Frozen Foods,Frozen Entrees,5,$14.85
4582,12/25/12,1410,M,S,N,0,$10K - $30K,San Diego,CA,USA,Food,Snack Foods,Snack Foods,2,$8.40
4583,12/25/12,1666,F,S,N,3,$10K - $30K,Beverly Hills,CA,USA,Food,Canned Foods,Canned Anchovies,4,$8.32
4584,12/25/12,6388,F,S,N,2,$10K - $30K,Portland,OR,USA,Food,Snacks,Candy,5,$15.48
4585,12/25/12,9932,F,S,Y,4,$110K - $130K,Beverly Hills,CA,USA,Non-Consumable,Household,Electrical,4,$18.78
4586,12/25/12,4422,F,M,Y,3,$30K - $50K,Los Angeles,CA,USA,Food,Baking Goods,Baking Goods,3,$5.46
4587,12/25/12,8323,M,S,N,3,$50K - $70K,Los Angeles,CA,USA,Food,Produce,Vegetables,3,$5.40
4588,12/25/12,1322,M,S,Y,5,$30K - $50K,Los Angeles,CA,USA,Food,Frozen Foods,Frozen Desserts,4,$17.55
4589,12/25/12,6845,F,M,Y,4,$90K - $110K,Los Angeles,CA,USA,Non-Consumable,Household,Paper Products,3,$8.40
4590,12/25/12,9998,M,S,Y,0,$50K - $70K,Los Angeles,CA,USA,Food,Canned Foods,Canned Soup,4,$3.90
4591,12/25/12,3401,M,M,Y,0,$50K - $70K,Portland,OR,USA,Non-Consumable,Household,Plastic Products,4,$19.68
4592,12/25/12,5791,M,S,N,3,$50K - $70K,Portland,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,3,$24.97
4593,12/25/12,2086,M,M,N,1,$10K - $30K,Salem,OR,USA,Food,Baked Goods,Bread,5,$11.78
4594,12/25/12,4061,M,S,N,4,$30K - $50K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,4,$3.23
4595,12/25/12,4932,F,S,Y,0,$50K - $70K,Camacho,Zacatecas,Mexico,Drink,Beverages,Carbonated Beverages,4,$3.17
4596,12/25/12,8466,M,M,Y,3,$10K - $30K,Tacoma,WA,USA,Food,Deli,Meat,4,$3.22
4597,12/25/12,6618,F,M,N,4,$10K - $30K,Vancouver,BC,Canada,Food,Produce,Vegetables,5,$25.56
4598,12/25/12,6287,M,S,Y,3,$30K - $50K,Vancouver,BC,Canada,Food,Frozen Foods,Frozen Desserts,4,$11.48
4599,12/25/12,8952,M,S,Y,3,$110K - $130K,Orizaba,Veracruz,Mexico,Food,Produce,Vegetables,5,$10.95
4600,12/26/12,4021,M,M,N,3,$30K - $50K,Spokane,WA,USA,Food,Dairy,Dairy,5,$18.14
4601,12/26/12,3327,F,S,N,4,$30K - $50K,Los Angeles,CA,USA,Food,Baking Goods,Jams and Jellies,5,$4.79
4602,12/26/12,992,F,S,Y,3,$30K - $50K,Los Angeles,CA,USA,Food,Frozen Foods,Vegetables,5,$6.72
4603,12/26/12,5171,M,S,N,3,$10K - $30K,Los Angeles,CA,USA,Food,Produce,Vegetables,4,$7.24
4604,12/26/12,9871,F,M,N,4,$10K - $30K,Salem,OR,USA,Food,Produce,Fruit,4,$13.05
4605,12/26/12,6313,F,M,N,0,$70K - $90K,Tacoma,WA,USA,Food,Starchy Foods,Starchy Foods,2,$11.02
4606,12/26/12,8189,M,S,N,2,$70K - $90K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,4,$10.72
4607,12/26/12,1507,M,M,N,1,$50K - $70K,Seattle,WA,USA,Food,Dairy,Dairy,3,$20.98
4608,12/26/12,2878,F,M,Y,4,$30K - $50K,Bremerton,WA,USA,Food,Baking Goods,Baking Goods,5,$7.90
4609,12/26/12,6291,F,S,Y,0,$30K - $50K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,2,$5.00
4610,12/26/12,9710,M,S,Y,3,$10K - $30K,Los Angeles,CA,USA,Food,Frozen Foods,Pizza,5,$9.58
4611,12/26/12,10098,M,M,Y,1,$30K - $50K,Los Angeles,CA,USA,Non-Consumable,Household,Cleaning Supplies,4,$5.02
4612,12/26/12,2175,F,M,Y,5,$110K - $130K,Camacho,Zacatecas,Mexico,Non-Consumable,Periodicals,Magazines,4,$18.24
4613,12/26/12,2879,M,S,Y,1,$130K - $150K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,2,$4.00
4614,12/26/12,6168,M,M,Y,4,$90K - $110K,Tacoma,WA,USA,Food,Produce,Fruit,3,$4.16
4615,12/26/12,6998,M,M,Y,1,$50K - $70K,Victoria,BC,Canada,Food,Snack Foods,Snack Foods,6,$29.54
4616,12/26/12,588,M,M,N,4,$30K - $50K,Yakima,WA,USA,Food,Dairy,Dairy,4,$17.47
4617,12/26/12,9995,F,M,Y,2,$30K - $50K,Vancouver,BC,Canada,Drink,Beverages,Hot Beverages,3,$11.12
4618,12/26/12,5665,F,M,Y,4,$70K - $90K,Merida,Yucatan,Mexico,Food,Frozen Foods,Pizza,5,$8.27
4619,12/26/12,9327,M,M,Y,5,$30K - $50K,Tacoma,WA,USA,Drink,Dairy,Dairy,6,$4.42
4620,12/26/12,10008,F,S,N,1,$10K - $30K,Merida,Yucatan,Mexico,Food,Frozen Foods,Breakfast Foods,5,$7.56
4621,12/26/12,10271,F,S,N,0,$70K - $90K,Merida,Yucatan,Mexico,Drink,Beverages,Carbonated Beverages,4,$12.01
4622,12/27/12,1773,M,M,N,2,$30K - $50K,Salem,OR,USA,Food,Starchy Foods,Starchy Foods,3,$13.06
4623,12/27/12,5827,M,M,Y,3,$30K - $50K,Portland,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,5,$7.22
4624,12/27/12,2086,M,M,N,1,$10K - $30K,Salem,OR,USA,Food,Baking Goods,Baking Goods,6,$15.81
4625,12/27/12,7963,M,S,N,3,$30K - $50K,Portland,OR,USA,Food,Produce,Vegetables,4,$28.00
4626,12/27/12,1841,M,M,Y,1,$50K - $70K,Seattle,WA,USA,Food,Snack Foods,Snack Foods,2,$6.72
4627,12/27/12,5280,F,S,N,5,$10K - $30K,Los Angeles,CA,USA,Non-Consumable,Periodicals,Magazines,4,$3.96
4628,12/27/12,6947,F,M,N,2,$70K - $90K,Portland,OR,USA,Food,Starchy Foods,Starchy Foods,5,$10.07
4629,12/27/12,9578,M,M,Y,2,$70K - $90K,Salem,OR,USA,Food,Eggs,Eggs,4,$4.82
4630,12/27/12,5501,F,S,Y,4,$30K - $50K,Tacoma,WA,USA,Food,Canned Products,Fruit,5,$14.93
4631,12/27/12,4487,F,S,N,2,$30K - $50K,Bellingham,WA,USA,Food,Eggs,Eggs,3,$9.25
4632,12/27/12,4527,M,M,Y,0,$10K - $30K,Bremerton,WA,USA,Non-Consumable,Household,Cleaning Supplies,4,$10.82
4633,12/27/12,9951,M,M,Y,4,$90K - $110K,Bremerton,WA,USA,Non-Consumable,Household,Paper Products,4,$12.43
4634,12/27/12,2862,F,M,Y,1,$50K - $70K,Orizaba,Veracruz,Mexico,Drink,Alcoholic Beverages,Beer and Wine,5,$11.56
4635,12/27/12,6593,M,S,N,2,$30K - $50K,Vancouver,BC,Canada,Food,Snack Foods,Snack Foods,3,$26.36
4636,12/27/12,7376,M,S,Y,2,$130K - $150K,Orizaba,Veracruz,Mexico,Food,Produce,Fruit,6,$28.67
4637,12/27/12,6082,F,M,Y,4,$10K - $30K,Salem,OR,USA,Food,Snack Foods,Snack Foods,5,$11.46
4638,12/27/12,389,M,M,Y,0,$50K - $70K,San Andres,DF,Mexico,Food,Baking Goods,Jams and Jellies,2,$11.86
4639,12/27/12,9685,F,S,Y,3,$50K - $70K,Acapulco,Guerrero,Mexico,Non-Consumable,Household,Plastic Products,3,$4.75
4640,12/27/12,6563,F,S,N,4,$50K - $70K,Acapulco,Guerrero,Mexico,Food,Snack Foods,Snack Foods,6,$16.32
4641,12/27/12,4486,F,S,Y,1,$110K - $130K,Beverly Hills,CA,USA,Food,Snack Foods,Snack Foods,4,$9.54
4642,12/28/12,5501,F,S,Y,4,$30K - $50K,Tacoma,WA,USA,Non-Consumable,Periodicals,Magazines,5,$24.19
4643,12/28/12,6560,F,S,Y,5,$70K - $90K,Tacoma,WA,USA,Food,Canned Foods,Vegetables,4,$18.29
4644,12/28/12,6683,F,M,Y,5,$50K - $70K,Tacoma,WA,USA,Non-Consumable,Household,Cleaning Supplies,4,$23.52
4645,12/28/12,9943,M,S,N,1,$30K - $50K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,4,$3.14
4646,12/28/12,5967,M,S,N,2,$50K - $70K,San Diego,CA,USA,Food,Baking Goods,Baking Goods,3,$6.82
4647,12/28/12,7355,M,S,N,0,$10K - $30K,Salem,OR,USA,Non-Consumable,Household,Kitchen Products,6,$31.55
4648,12/28/12,1747,F,S,N,1,$30K - $50K,San Diego,CA,USA,Food,Deli,Meat,4,$14.35
4649,12/28/12,9239,M,M,Y,0,$90K - $110K,Los Angeles,CA,USA,Food,Deli,Meat,4,$12.39
4650,12/28/12,5295,M,S,Y,3,$30K - $50K,Spokane,WA,USA,Food,Deli,Side Dishes,3,$3.99
4651,12/28/12,10116,M,M,N,3,$30K - $50K,Tacoma,WA,USA,Food,Produce,Vegetables,4,$10.47
4652,12/28/12,6162,M,M,N,4,$30K - $50K,Tacoma,WA,USA,Food,Eggs,Eggs,4,$3.07
4653,12/28/12,7622,F,S,N,1,$50K - $70K,Bremerton,WA,USA,Non-Consumable,Household,Paper Products,4,$5.63
4654,12/28/12,1341,M,M,N,3,$30K - $50K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,2,$14.12
4655,12/28/12,4438,F,S,N,3,$10K - $30K,Beverly Hills,CA,USA,Food,Baking Goods,Baking Goods,4,$7.02
4656,12/28/12,4235,M,S,Y,0,$50K - $70K,Orizaba,Veracruz,Mexico,Drink,Beverages,Drinks,3,$35.55
4657,12/28/12,9366,M,M,Y,0,$110K - $130K,Tacoma,WA,USA,Food,Baking Goods,Baking Goods,3,$7.73
4658,12/28/12,930,F,M,Y,2,$50K - $70K,Tacoma,WA,USA,Non-Consumable,Periodicals,Magazines,5,$10.94
4659,12/28/12,8816,F,M,Y,4,$30K - $50K,Los Angeles,CA,USA,Non-Consumable,Household,Hardware,5,$11.53
4660,12/28/12,5536,F,S,Y,0,$50K - $70K,Orizaba,Veracruz,Mexico,Food,Baking Goods,Jams and Jellies,2,$3.76
4661,12/29/12,1594,M,M,Y,2,$90K - $110K,Portland,OR,USA,Food,Snack Foods,Snack Foods,6,$29.12
4662,12/29/12,1533,M,M,Y,3,$30K - $50K,Bremerton,WA,USA,Food,Produce,Vegetables,3,$6.91
4663,12/29/12,10266,F,S,Y,3,$130K - $150K,Seattle,WA,USA,Food,Deli,Meat,5,$11.58
4664,12/29/12,10034,F,M,Y,2,$10K - $30K,Seattle,WA,USA,Food,Snack Foods,Snack Foods,3,$8.93
4665,12/29/12,1338,M,S,N,5,$30K - $50K,San Diego,CA,USA,Food,Baked Goods,Bread,3,$8.30
4666,12/29/12,8841,M,M,Y,1,$10K - $30K,Salem,OR,USA,Food,Deli,Meat,4,$11.41
4667,12/29/12,9823,F,M,Y,0,$70K - $90K,Salem,OR,USA,Food,Eggs,Eggs,4,$11.17
4668,12/29/12,4099,M,M,N,3,$70K - $90K,Tacoma,WA,USA,Food,Deli,Meat,6,$30.14
4669,12/29/12,5895,M,S,N,0,$30K - $50K,Tacoma,WA,USA,Food,Dairy,Dairy,4,$10.79
4670,12/29/12,7283,F,M,N,3,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Vegetables,6,$12.14
4671,12/29/12,1706,F,S,Y,3,$50K - $70K,Salem,OR,USA,Food,Deli,Meat,6,$12.48
4672,12/29/12,5590,M,M,N,5,$110K - $130K,Tacoma,WA,USA,Food,Produce,Vegetables,5,$8.69
4673,12/29/12,5659,F,M,Y,0,$70K - $90K,Vancouver,BC,Canada,Drink,Beverages,Carbonated Beverages,5,$4.84
4674,12/30/12,2662,F,S,N,4,$30K - $50K,Portland,OR,USA,Food,Frozen Foods,Frozen Desserts,3,$8.82
4675,12/30/12,2918,F,S,N,3,$10K - $30K,Tacoma,WA,USA,Non-Consumable,Household,Paper Products,5,$30.91
4676,12/30/12,4004,F,M,Y,3,$10K - $30K,Salem,OR,USA,Food,Frozen Foods,Frozen Desserts,5,$25.15
4677,12/30/12,2588,M,M,Y,3,$10K - $30K,Yakima,WA,USA,Food,Frozen Foods,Frozen Desserts,6,$13.56
4678,12/30/12,4179,M,M,Y,0,$50K - $70K,San Diego,CA,USA,Food,Deli,Side Dishes,4,$13.02
4679,12/30/12,5744,F,M,Y,0,$10K - $30K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,2,$7.52
4680,12/30/12,3524,M,S,Y,1,$30K - $50K,Salem,OR,USA,Food,Produce,Fruit,3,$7.45
4681,12/30/12,7365,F,S,N,2,$30K - $50K,Salem,OR,USA,Food,Starchy Foods,Starchy Foods,4,$21.36
4682,12/30/12,3692,M,S,Y,0,$70K - $90K,Spokane,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,$10.00
4683,12/30/12,4634,M,M,Y,4,$10K - $30K,San Diego,CA,USA,Food,Snacks,Candy,4,$18.29
4684,12/30/12,9236,M,S,N,0,$70K - $90K,Salem,OR,USA,Food,Frozen Foods,Frozen Entrees,4,$10.56
4685,12/30/12,916,M,S,Y,3,$130K - $150K,Los Angeles,CA,USA,Food,Frozen Foods,Pizza,2,$12.20
4686,12/30/12,5013,M,M,N,2,$10K - $30K,Los Angeles,CA,USA,Non-Consumable,Household,Electrical,4,$10.49
4687,12/30/12,472,F,M,Y,0,$30K - $50K,Tacoma,WA,USA,Non-Consumable,Health and Hygiene,Decongestants,4,$6.61
4688,12/30/12,10208,M,S,Y,4,$90K - $110K,Merida,Yucatan,Mexico,Food,Snack Foods,Snack Foods,3,$7.52
4689,12/30/12,2927,M,M,Y,4,$30K - $50K,Los Angeles,CA,USA,Drink,Beverages,Pure Juice Beverages,6,$41.33
4690,12/30/12,4771,M,S,Y,2,$30K - $50K,Hidalgo,Zacatecas,Mexico,Food,Baked Goods,Bread,2,$4.63
4691,12/30/12,9238,M,S,Y,2,$10K - $30K,Camacho,Zacatecas,Mexico,Food,Baking Goods,Baking Goods,6,$9.60
4692,12/30/12,2996,F,M,Y,4,$10K - $30K,Salem,OR,USA,Food,Frozen Foods,Vegetables,6,$18.32
4693,12/30/12,8659,M,M,Y,3,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,4,$12.46
4694,12/30/12,463,M,S,Y,3,$10K - $30K,Yakima,WA,USA,Food,Frozen Foods,Vegetables,2,$7.95
4695,12/30/12,6541,F,S,N,1,$30K - $50K,Yakima,WA,USA,Food,Frozen Foods,Frozen Entrees,4,$5.49
4696,12/30/12,2099,M,M,Y,0,$30K - $50K,Merida,Yucatan,Mexico,Food,Starchy Foods,Starchy Foods,3,$20.85
4697,12/30/12,8164,F,S,N,4,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,5,$23.33
4698,12/30/12,389,M,M,Y,0,$50K - $70K,San Andres,DF,Mexico,Food,Baked Goods,Bread,4,$10.25
4699,12/30/12,489,M,M,N,2,$70K - $90K,Acapulco,Guerrero,Mexico,Food,Baking Goods,Baking Goods,3,$12.17
4700,12/30/12,5381,F,M,Y,3,$110K - $130K,San Andres,DF,Mexico,Non-Consumable,Periodicals,Magazines,5,$8.34
4701,12/30/12,8700,F,S,N,5,$30K - $50K,Beverly Hills,CA,USA,Food,Frozen Foods,Frozen Desserts,4,$21.73
4702,12/30/12,6684,M,S,Y,4,$30K - $50K,Walla Walla,WA,USA,Non-Consumable,Household,Kitchen Products,1,$2.92
4703,12/30/12,7478,F,M,N,0,$50K - $70K,Beverly Hills,CA,USA,Food,Baking Goods,Jams and Jellies,3,$12.18
4704,12/30/12,878,F,S,N,0,$10K - $30K,Bremerton,WA,USA,Non-Consumable,Household,Kitchen Products,3,$19.51
4705,12/30/12,8630,F,S,N,2,$50K - $70K,San Diego,CA,USA,Non-Consumable,Household,Paper Products,3,$13.87
4706,12/31/12,6607,M,S,N,2,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,3,$11.91
4707,12/31/12,1221,F,M,Y,1,$130K - $150K,Seattle,WA,USA,Non-Consumable,Health and Hygiene,Cold Remedies,3,$10.70
4708,12/31/12,1850,M,S,Y,1,$130K - $150K,Spokane,WA,USA,Food,Frozen Foods,Frozen Desserts,4,$18.67
4709,12/31/12,8499,M,S,N,2,$10K - $30K,San Diego,CA,USA,Food,Produce,Fruit,3,$4.68
4710,12/31/12,7952,M,M,Y,4,$90K - $110K,Salem,OR,USA,Food,Eggs,Eggs,5,$9.83
4711,12/31/12,766,M,M,Y,4,$30K - $50K,Seattle,WA,USA,Food,Snack Foods,Snack Foods,3,$4.64
4712,12/31/12,3463,M,S,N,0,$10K - $30K,Salem,OR,USA,Drink,Dairy,Dairy,2,$14.96
4713,12/31/12,2664,F,S,Y,3,$50K - $70K,Tacoma,WA,USA,Food,Deli,Side Dishes,6,$9.41
4714,12/31/12,9321,M,M,Y,2,$10K - $30K,Walla Walla,WA,USA,Food,Snack Foods,Snack Foods,2,$10.60
4715,12/31/12,767,F,S,N,2,$10K - $30K,Camacho,Zacatecas,Mexico,Food,Dairy,Dairy,4,$2.65
4716,12/31/12,7821,M,M,Y,4,$70K - $90K,Beverly Hills,CA,USA,Food,Snacks,Candy,3,$15.48
4717,12/31/12,2086,M,M,N,1,$10K - $30K,Salem,OR,USA,Non-Consumable,Household,Plastic Products,3,$9.36
4718,12/31/12,2742,M,M,Y,3,$30K - $50K,Tacoma,WA,USA,Food,Deli,Meat,2,$1.66
4719,12/31/12,7986,M,M,Y,0,$10K - $30K,San Diego,CA,USA,Food,Baked Goods,Bread,5,$6.90
4720,12/31/12,2011,M,M,N,3,$70K - $90K,Yakima,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,5,$10.55
4721,12/31/12,4165,F,S,N,4,$30K - $50K,Bremerton,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,4,$16.92
4722,12/31/12,7063,F,M,Y,4,$110K - $130K,Hidalgo,Zacatecas,Mexico,Drink,Beverages,Carbonated Beverages,4,$20.52
4723,12/31/12,8351,M,S,N,4,$70K - $90K,Spokane,WA,USA,Food,Frozen Foods,Frozen Desserts,4,$4.54
4724,12/31/12,9728,M,M,Y,1,$10K - $30K,Spokane,WA,USA,Non-Consumable,Household,Electrical,5,$18.16
4725,12/31/12,9426,M,S,N,3,$10K - $30K,San Andres,DF,Mexico,Food,Produce,Vegetables,2,$11.44
4726,12/31/12,6669,M,M,Y,4,$50K - $70K,Hidalgo,Zacatecas,Mexico,Food,Produce,Vegetables,4,$13.86
4727,12/31/12,7129,M,M,Y,5,$10K - $30K,Seattle,WA,USA,Drink,Beverages,Pure Juice Beverages,4,$6.72
4728,01/01/13,4422,F,M,Y,3,$30K - $50K,Los Angeles,CA,USA,Food,Starchy Foods,Starchy Foods,2,$11.68
4729,01/01/13,6712,M,M,Y,3,$110K - $130K,Spokane,WA,USA,Food,Baking Goods,Jams and Jellies,5,$4.62
4730,01/01/13,2217,F,S,Y,4,$110K - $130K,Seattle,WA,USA,Food,Snack Foods,Snack Foods,4,$12.77
4731,01/01/13,5295,M,S,Y,3,$30K - $50K,Spokane,WA,USA,Food,Produce,Vegetables,5,$2.77
4732,01/01/13,3639,F,M,Y,2,$30K - $50K,San Diego,CA,USA,Food,Snack Foods,Snack Foods,5,$7.13
4733,01/01/13,7906,M,M,Y,1,$10K - $30K,Salem,OR,USA,Non-Consumable,Household,Hardware,5,$4.92
4734,01/01/13,2246,M,S,Y,3,$130K - $150K,Salem,OR,USA,Non-Consumable,Household,Paper Products,5,$12.63
4735,01/01/13,1983,M,M,Y,5,$30K - $50K,Tacoma,WA,USA,Food,Starchy Foods,Starchy Foods,6,$46.80
4736,01/01/13,4069,F,S,Y,1,$110K - $130K,Tacoma,WA,USA,Food,Canned Products,Fruit,5,$17.64
4737,01/01/13,7920,M,S,N,3,$10K - $30K,Tacoma,WA,USA,Non-Consumable,Household,Cleaning Supplies,4,$24.90
4738,01/01/13,3692,M,S,Y,0,$70K - $90K,Spokane,WA,USA,Food,Dairy,Dairy,5,$19.86
4739,01/01/13,4681,M,S,N,0,$30K - $50K,San Francisco,CA,USA,Food,Snack Foods,Snack Foods,2,$5.32
4740,01/01/13,1271,M,S,N,2,$90K - $110K,Salem,OR,USA,Food,Frozen Foods,Meat,5,$7.96
4741,01/01/13,4571,F,M,Y,5,$30K - $50K,Camacho,Zacatecas,Mexico,Food,Baking Goods,Jams and Jellies,3,$9.49
4742,01/01/13,4368,M,S,Y,3,$70K - $90K,Los Angeles,CA,USA,Food,Produce,Vegetables,3,$6.68
4743,01/01/13,3716,F,M,Y,4,$70K - $90K,Tacoma,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,2,$2.62
4744,01/01/13,9745,M,S,Y,4,$50K - $70K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,3,$8.58
4745,01/01/13,5512,F,S,Y,5,$30K - $50K,Merida,Yucatan,Mexico,Food,Starchy Foods,Starchy Foods,3,$8.64
4746,01/01/13,9249,F,M,N,2,$30K - $50K,Merida,Yucatan,Mexico,Drink,Beverages,Carbonated Beverages,3,$20.55
4747,01/01/13,6265,F,S,N,2,$10K - $30K,Yakima,WA,USA,Food,Snack Foods,Snack Foods,5,$2.45
4748,01/01/13,1222,M,M,Y,3,$30K - $50K,Hidalgo,Zacatecas,Mexico,Food,Produce,Specialty,4,$4.85
4749,01/01/13,4579,F,M,Y,2,$50K - $70K,Hidalgo,Zacatecas,Mexico,Food,Snack Foods,Snack Foods,4,$14.20
4750,01/02/13,2553,M,M,Y,2,$50K - $70K,Spokane,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,2,$14.35
4751,01/02/13,2019,M,S,N,4,$10K - $30K,Spokane,WA,USA,Food,Frozen Foods,Frozen Desserts,3,$15.02
4752,01/02/13,4614,F,S,N,2,$30K - $50K,Portland,OR,USA,Food,Meat,Meat,4,$4.95
4753,01/02/13,4843,M,S,Y,4,$30K - $50K,San Diego,CA,USA,Food,Meat,Meat,3,$8.05
4754,01/02/13,1977,M,M,Y,4,$10K - $30K,Yakima,WA,USA,Food,Frozen Foods,Frozen Desserts,3,$4.22
4755,01/02/13,8746,F,S,N,3,$30K - $50K,Yakima,WA,USA,Drink,Alcoholic Beverages,Beer and Wine,5,$26.99
4756,01/02/13,8916,M,S,N,3,$10K - $30K,Portland,OR,USA,Non-Consumable,Health and Hygiene,Bathroom Products,6,$15.29
4757,01/02/13,8414,M,M,N,1,$10K - $30K,Tacoma,WA,USA,Food,Frozen Foods,Vegetables,3,$6.53
4758,01/02/13,4756,M,M,Y,3,$30K - $50K,Beverly Hills,CA,USA,Food,Dairy,Dairy,4,$13.82
4759,01/02/13,4855,F,M,Y,1,$90K - $110K,Los Angeles,CA,USA,Food,Deli,Meat,4,$29.16
4760,01/02/13,9037,F,M,Y,1,$10K - $30K,Orizaba,Veracruz,Mexico,Non-Consumable,Household,Electrical,5,$32.47
